Province/State,Country/Region,Confirmed,Deaths,Recovered,Measurement_Date
Kansas,US,1,0,0,2020-03-27
Oklahoma,US,0,0,0,2020-03-27
Maryland,US,2,0,0,2020-03-27
Massachusetts,US,219,3,0,2020-03-27
Georgia,US,7,0,0,2020-03-27
Iowa,US,0,0,0,2020-03-27
Missouri,US,0,0,0,2020-03-27
Alaska,US,0,0,0,2020-03-27
Iowa,US,1,0,0,2020-03-27
Minnesota,US,5,0,0,2020-03-27
Missouri,US,1,0,0,2020-03-27
Ohio,US,1,0,0,2020-03-27
Kansas,US,43,3,0,2020-03-27
New York,US,7,1,0,2020-03-27
Pennsylvania,US,0,0,0,2020-03-27
West Virginia,US,0,0,0,2020-03-27
Virginia,US,0,0,0,2020-03-27
North Carolina,US,0,0,0,2020-03-27
Washington,US,66,2,0,2020-03-27
Alaska,US,0,0,0,2020-03-27
Mississippi,US,3,0,0,2020-03-27
Oregon,US,11,0,0,2020-03-27
North Carolina,US,0,0,0,2020-03-27
South Dakota,US,0,0,0,2020-03-27
New York,US,0,0,0,2020-03-27
Arizona,US,9,0,0,2020-03-27
Mississippi,US,4,0,0,2020-03-27
Arkansas,US,0,0,0,2020-03-27
Minnesota,US,0,0,0,2020-03-27
Montana,US,20,0,0,2020-03-27
Texas,US,1,0,0,2020-03-27
California,US,13,1,0,2020-03-27
Maine,US,33,0,0,2020-03-27
Nebraska,US,0,0,0,2020-03-27
Pennsylvania,US,30,0,0,2020-03-27
South Carolina,US,19,0,0,2020-03-27
Virginia,US,9,1,0,2020-03-27
Texas,US,1,0,0,2020-03-27
California,US,3,0,0,2020-03-27
Alaska,US,0,0,0,2020-03-27
Arizona,US,4,0,0,2020-03-27
Colorado,US,2,0,0,2020-03-27
Texas,US,0,0,0,2020-03-27
Texas,US,0,0,0,2020-03-27
South Dakota,US,0,0,0,2020-03-27
Alberta,Canada,542,2,0,2020-03-27
American Samoa,US,0,0,0,2020-03-27
Anhui,China,990,6,984,2020-03-27
Aruba,Netherlands,33,0,1,2020-03-27
Australian Capital Territory,Australia,62,0,1,2020-03-27
Beijing,China,569,8,408,2020-03-27
Bermuda,United Kingdom,17,0,2,2020-03-27
British Columbia,Canada,725,14,0,2020-03-27
Cayman Islands,United Kingdom,8,1,0,2020-03-27
Channel Islands,United Kingdom,88,1,0,2020-03-27
Chongqing,China,578,6,570,2020-03-27
Curacao,Netherlands,8,1,2,2020-03-27
Diamond Princess,Canada,0,1,0,2020-03-27
Diamond Princess,US,49,0,0,2020-03-27
Faroe Islands,Denmark,144,0,54,2020-03-27
French Guiana,France,28,0,6,2020-03-27
French Polynesia,France,30,0,0,2020-03-27
Fujian,China,331,1,295,2020-03-27
Gansu,China,136,2,123,2020-03-27
Gibraltar,United Kingdom,55,0,14,2020-03-27
Grand Princess,Canada,13,0,0,2020-03-27
Grand Princess,US,28,3,0,2020-03-27
Greenland,Denmark,10,0,2,2020-03-27
Guadeloupe,France,73,1,0,2020-03-27
Guam,US,51,1,0,2020-03-27
Guangdong,China,1456,8,1337,2020-03-27
Guangxi,China,254,2,250,2020-03-27
Guizhou,China,146,2,144,2020-03-27
Hainan,China,168,6,168,2020-03-27
Hebei,China,319,6,310,2020-03-27
Heilongjiang,China,484,13,469,2020-03-27
Henan,China,1275,22,1250,2020-03-27
Hong Kong,China,519,4,110,2020-03-27
Hubei,China,67801,3174,61732,2020-03-27
Hunan,China,1018,4,1014,2020-03-27
Inner Mongolia,China,92,1,74,2020-03-27
Isle of Man,United Kingdom,29,0,0,2020-03-27
Jiangsu,China,641,0,631,2020-03-27
Jiangxi,China,936,1,934,2020-03-27
Jilin,China,95,1,92,2020-03-27
Liaoning,China,128,2,124,2020-03-27
Macau,China,33,0,10,2020-03-27
Manitoba,Canada,39,1,0,2020-03-27
Martinique,France,81,1,0,2020-03-27
Mayotte,France,50,0,0,2020-03-27
Montserrat,United Kingdom,5,0,0,2020-03-27
New Brunswick,Canada,45,0,0,2020-03-27
New Caledonia,France,15,0,0,2020-03-27
New South Wales,Australia,1405,7,4,2020-03-27
Newfoundland and Labrador,Canada,102,0,0,2020-03-27
Ningxia,China,75,0,75,2020-03-27
Northern Mariana Islands,US,0,0,0,2020-03-27
Northern Territory,Australia,12,0,0,2020-03-27
Northwest Territories,Canada,1,0,0,2020-03-27
Nova Scotia,Canada,90,0,0,2020-03-27
Ontario,Canada,994,18,0,2020-03-27
Prince Edward Island,Canada,9,0,0,2020-03-27
Puerto Rico,US,79,3,0,2020-03-27
Qinghai,China,18,0,18,2020-03-27
Quebec,Canada,2024,18,0,2020-03-27
Queensland,Australia,555,1,8,2020-03-27
Recovered,Canada,0,0,256,2020-03-27
Recovered,US,0,0,869,2020-03-27
Reunion,France,145,0,1,2020-03-27
Saint Barthelemy,France,5,0,0,2020-03-27
Saskatchewan,Canada,95,0,0,2020-03-27
Shaanxi,China,253,3,242,2020-03-27
Shandong,China,772,7,752,2020-03-27
Shanghai,China,468,5,334,2020-03-27
Shanxi,China,135,0,133,2020-03-27
Sichuan,China,548,3,536,2020-03-27
Sint Maarten,Netherlands,3,0,0,2020-03-27
South Australia,Australia,257,0,6,2020-03-27
St Martin,France,11,0,0,2020-03-27
Tasmania,Australia,47,0,3,2020-03-27
Tianjin,China,155,3,133,2020-03-27
Tibet,China,1,0,1,2020-03-27
Victoria,Australia,574,3,171,2020-03-27
Virgin Islands,US,19,0,0,2020-03-27
Western Australia,Australia,231,2,1,2020-03-27
Xinjiang,China,76,3,73,2020-03-27
Yukon,Canada,3,0,0,2020-03-27
Yunnan,China,180,2,172,2020-03-27
Zhejiang,China,1247,1,1222,2020-03-27
NA,Afghanistan,110,4,2,2020-03-27
NA,Albania,186,8,31,2020-03-27
NA,Algeria,409,26,29,2020-03-27
NA,Andorra,267,3,1,2020-03-27
NA,Angola,4,0,0,2020-03-27
NA,Antigua and Barbuda,7,0,0,2020-03-27
NA,Argentina,589,13,72,2020-03-27
NA,Armenia,329,1,28,2020-03-27
NA,Austria,7657,58,225,2020-03-27
NA,Azerbaijan,165,3,15,2020-03-27
NA,Bahamas,10,0,1,2020-03-27
NA,Bahrain,466,4,227,2020-03-27
NA,Bangladesh,48,5,11,2020-03-27
NA,Barbados,24,0,0,2020-03-27
NA,Belarus,94,0,32,2020-03-27
NA,Belgium,7284,289,858,2020-03-27
NA,Belize,2,0,0,2020-03-27
NA,Benin,6,0,0,2020-03-27
NA,Bhutan,3,0,0,2020-03-27
NA,Bolivia,61,0,0,2020-03-27
NA,Bosnia and Herzegovina,237,4,5,2020-03-27
NA,Brazil,3417,92,6,2020-03-27
NA,Brunei,115,0,11,2020-03-27
NA,Bulgaria,293,3,9,2020-03-27
NA,Burkina Faso,180,9,12,2020-03-27
NA,Burma,8,0,0,2020-03-27
NA,Cabo Verde,5,1,0,2020-03-27
NA,Cambodia,99,0,11,2020-03-27
NA,Cameroon,91,2,2,2020-03-27
NA,Central African Republic,3,0,0,2020-03-27
NA,Chad,3,0,0,2020-03-27
NA,Chile,1610,5,43,2020-03-27
NA,Colombia,539,6,10,2020-03-27
NA,Congo (Brazzaville),4,0,0,2020-03-27
NA,Congo (Kinshasa),51,3,2,2020-03-27
NA,Costa Rica,263,2,3,2020-03-27
NA,Cote d'Ivoire,101,0,3,2020-03-27
NA,Croatia,586,3,37,2020-03-27
NA,Cuba,80,2,4,2020-03-27
NA,Cyprus,162,5,15,2020-03-27
NA,Czechia,2279,9,11,2020-03-27
NA,Denmark,2046,52,1,2020-03-27
NA,Diamond Princess,712,10,597,2020-03-27
NA,Djibouti,12,0,0,2020-03-27
NA,Dominica,11,0,0,2020-03-27
NA,Dominican Republic,581,20,3,2020-03-27
NA,Ecuador,1595,36,3,2020-03-27
NA,Egypt,536,30,116,2020-03-27
NA,El Salvador,13,0,0,2020-03-27
NA,Equatorial Guinea,12,0,0,2020-03-27
NA,Eritrea,6,0,0,2020-03-27
NA,Estonia,575,1,11,2020-03-27
NA,Eswatini,9,0,0,2020-03-27
NA,Ethiopia,16,0,0,2020-03-27
NA,Fiji,5,0,0,2020-03-27
NA,Finland,1041,7,10,2020-03-27
NA,France,32964,1995,5700,2020-03-27
NA,Gabon,7,1,0,2020-03-27
NA,Gambia,3,1,0,2020-03-27
NA,Georgia,83,0,14,2020-03-27
NA,Germany,50871,342,6658,2020-03-27
NA,Ghana,137,4,2,2020-03-27
NA,Greece,966,28,52,2020-03-27
NA,Grenada,7,0,0,2020-03-27
NA,Guatemala,28,1,4,2020-03-27
NA,Guinea,8,0,0,2020-03-27
NA,Guinea-Bissau,2,0,0,2020-03-27
NA,Guyana,5,1,0,2020-03-27
NA,Haiti,8,0,0,2020-03-27
NA,Holy See,4,0,0,2020-03-27
NA,Honduras,68,1,0,2020-03-27
NA,Hungary,300,10,34,2020-03-27
NA,Iceland,890,2,97,2020-03-27
NA,India,887,20,73,2020-03-27
NA,Indonesia,1046,87,46,2020-03-27
NA,Iran,32332,2378,11133,2020-03-27
NA,Iraq,458,40,122,2020-03-27
NA,Ireland,2121,22,5,2020-03-27
NA,Israel,3035,12,79,2020-03-27
NA,Italy,86498,9134,10950,2020-03-27
NA,Jamaica,26,1,2,2020-03-27
NA,Japan,1468,49,372,2020-03-27
NA,Jordan,235,1,18,2020-03-27
NA,Kazakhstan,150,1,3,2020-03-27
NA,Kenya,31,1,1,2020-03-27
NA,"Korea, South",9332,139,4528,2020-03-27
NA,Kosovo,86,1,1,2020-03-27
NA,Kuwait,225,0,57,2020-03-27
NA,Kyrgyzstan,58,0,0,2020-03-27
NA,Laos,6,0,0,2020-03-27
NA,Latvia,280,0,1,2020-03-27
NA,Lebanon,391,8,27,2020-03-27
NA,Liberia,3,0,0,2020-03-27
NA,Libya,1,0,0,2020-03-27
NA,Liechtenstein,56,0,0,2020-03-27
NA,Lithuania,358,5,1,2020-03-27
NA,Luxembourg,1605,15,40,2020-03-27
NA,Madagascar,26,0,0,2020-03-27
NA,Malaysia,2161,26,259,2020-03-27
NA,Maldives,16,0,9,2020-03-27
NA,Mali,11,0,0,2020-03-27
NA,Malta,139,0,2,2020-03-27
NA,Mauritania,3,0,0,2020-03-27
NA,Mauritius,94,2,0,2020-03-27
NA,Mexico,585,8,4,2020-03-27
NA,Moldova,199,2,2,2020-03-27
NA,Monaco,42,0,1,2020-03-27
NA,Mongolia,11,0,0,2020-03-27
NA,Montenegro,82,1,0,2020-03-27
NA,Morocco,345,23,11,2020-03-27
NA,Mozambique,7,0,0,2020-03-27
NA,Namibia,8,0,2,2020-03-27
NA,Nepal,4,0,1,2020-03-27
NA,Netherlands,8603,546,3,2020-03-27
NA,New Zealand,368,0,37,2020-03-27
NA,Nicaragua,2,1,0,2020-03-27
NA,Niger,10,1,0,2020-03-27
NA,Nigeria,70,1,3,2020-03-27
NA,North Macedonia,219,3,3,2020-03-27
NA,Norway,3755,19,6,2020-03-27
NA,Oman,131,0,23,2020-03-27
NA,Pakistan,1373,11,23,2020-03-27
NA,Panama,674,9,2,2020-03-27
NA,Papua New Guinea,1,0,0,2020-03-27
NA,Paraguay,52,3,1,2020-03-27
NA,Peru,635,11,16,2020-03-27
NA,Philippines,803,54,31,2020-03-27
NA,Poland,1389,16,7,2020-03-27
NA,Portugal,4268,76,43,2020-03-27
NA,Qatar,562,0,43,2020-03-27
NA,Romania,1292,26,115,2020-03-27
NA,Russia,1036,4,45,2020-03-27
NA,Rwanda,54,0,0,2020-03-27
NA,Saint Kitts and Nevis,2,0,0,2020-03-27
NA,Saint Lucia,3,0,1,2020-03-27
NA,Saint Vincent and the Grenadines,1,0,0,2020-03-27
NA,San Marino,223,21,4,2020-03-27
NA,Saudi Arabia,1104,3,35,2020-03-27
NA,Senegal,119,0,11,2020-03-27
NA,Serbia,457,1,0,2020-03-27
NA,Seychelles,7,0,0,2020-03-27
NA,Singapore,732,2,183,2020-03-27
NA,Slovakia,269,0,2,2020-03-27
NA,Slovenia,632,9,10,2020-03-27
NA,Somalia,3,0,0,2020-03-27
NA,South Africa,1170,1,31,2020-03-27
NA,Spain,65719,5138,9357,2020-03-27
NA,Sri Lanka,106,0,7,2020-03-27
NA,Sudan,3,1,0,2020-03-27
NA,Suriname,8,0,0,2020-03-27
NA,Sweden,3069,105,16,2020-03-27
NA,Switzerland,12928,231,1530,2020-03-27
NA,Syria,5,0,0,2020-03-27
NA,Taiwan*,267,2,29,2020-03-27
NA,Tanzania,13,0,1,2020-03-27
NA,Thailand,1136,5,97,2020-03-27
NA,Timor-Leste,1,0,0,2020-03-27
NA,Togo,25,1,1,2020-03-27
NA,Trinidad and Tobago,66,2,1,2020-03-27
NA,Tunisia,227,6,2,2020-03-27
NA,Turkey,5698,92,42,2020-03-27
NA,Uganda,23,0,0,2020-03-27
NA,Ukraine,310,5,5,2020-03-27
NA,United Arab Emirates,405,2,52,2020-03-27
NA,United Kingdom,14543,759,135,2020-03-27
NA,Uruguay,238,0,0,2020-03-27
NA,Uzbekistan,88,1,5,2020-03-27
NA,Venezuela,107,1,31,2020-03-27
NA,Vietnam,163,0,20,2020-03-27
NA,West Bank and Gaza,91,1,17,2020-03-27
NA,Zambia,22,0,0,2020-03-27
NA,Zimbabwe,5,1,0,2020-03-27
South Carolina,US,3,0,0,2020-03-28
Louisiana,US,9,1,0,2020-03-28
Virginia,US,2,0,0,2020-03-28
Idaho,US,76,0,0,2020-03-28
Iowa,US,1,0,0,2020-03-28
Kentucky,US,0,0,0,2020-03-28
Missouri,US,1,0,0,2020-03-28
Oklahoma,US,3,0,0,2020-03-28
Colorado,US,71,0,0,2020-03-28
Idaho,US,0,0,0,2020-03-28
Illinois,US,1,0,0,2020-03-28
Indiana,US,1,0,0,2020-03-28
Iowa,US,0,0,0,2020-03-28
Mississippi,US,6,0,0,2020-03-28
Nebraska,US,2,0,0,2020-03-28
North Dakota,US,0,0,0,2020-03-28
Ohio,US,0,0,0,2020-03-28
Pennsylvania,US,8,0,0,2020-03-28
Washington,US,5,0,0,2020-03-28
Wisconsin,US,0,0,0,2020-03-28
Vermont,US,15,0,0,2020-03-28
South Carolina,US,7,0,0,2020-03-28
Minnesota,US,0,0,0,2020-03-28
Florida,US,67,0,0,2020-03-28
North Carolina,US,5,0,0,2020-03-28
California,US,220,4,0,2020-03-28
Colorado,US,1,0,0,2020-03-28
New York,US,195,0,0,2020-03-28
Wyoming,US,1,0,0,2020-03-28
Virginia,US,16,0,0,2020-03-28
Michigan,US,0,0,0,2020-03-28
Mississippi,US,1,0,0,2020-03-28
Alaska,US,0,0,0,2020-03-28
Alaska,US,0,0,0,2020-03-28
Illinois,US,0,0,0,2020-03-28
North Carolina,US,1,0,0,2020-03-28
Virginia,US,20,0,0,2020-03-28
Oklahoma,US,0,0,0,2020-03-28
Michigan,US,0,0,0,2020-03-28
Iowa,US,7,1,0,2020-03-28
Michigan,US,2,0,0,2020-03-28
Maryland,US,0,0,0,2020-03-28
New York,US,2,0,0,2020-03-28
North Carolina,US,1,0,0,2020-03-28
Virginia,US,0,0,0,2020-03-28
Pennsylvania,US,219,2,0,2020-03-28
Indiana,US,23,1,0,2020-03-28
Kansas,US,0,0,0,2020-03-28
Kentucky,US,1,0,0,2020-03-28
Louisiana,US,7,0,0,2020-03-28
Ohio,US,2,0,0,2020-03-28
South Carolina,US,0,0,0,2020-03-28
Michigan,US,0,0,0,2020-03-28
California,US,0,0,0,2020-03-28
California,US,2,0,0,2020-03-28
Virginia,US,1,0,0,2020-03-28
Virginia,US,2,0,0,2020-03-28
Mississippi,US,0,0,0,2020-03-28
Alaska,US,43,1,0,2020-03-28
Kansas,US,0,0,0,2020-03-28
Kentucky,US,2,1,0,2020-03-28
South Carolina,US,24,0,0,2020-03-28
Tennessee,US,5,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
Missouri,US,0,0,0,2020-03-28
Texas,US,1,0,0,2020-03-28
Maine,US,7,0,0,2020-03-28
Texas,US,1,0,0,2020-03-28
Maryland,US,88,0,0,2020-03-28
Minnesota,US,12,0,0,2020-03-28
North Carolina,US,0,0,0,2020-03-28
Nebraska,US,0,0,0,2020-03-28
Michigan,US,0,0,0,2020-03-28
Arizona,US,13,0,0,2020-03-28
Iowa,US,1,0,0,2020-03-28
Georgia,US,0,0,0,2020-03-28
Virginia,US,0,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
Colorado,US,155,1,0,2020-03-28
Texas,US,0,0,0,2020-03-28
Colorado,US,0,0,0,2020-03-28
Michigan,US,0,0,0,2020-03-28
Arkansas,US,0,0,0,2020-03-28
Virginia,US,75,0,0,2020-03-28
Pennsylvania,US,2,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
Maine,US,0,0,0,2020-03-28
Nebraska,US,0,0,0,2020-03-28
Louisiana,US,107,1,0,2020-03-28
North Carolina,US,0,0,0,2020-03-28
Ohio,US,3,0,0,2020-03-28
Wisconsin,US,0,0,0,2020-03-28
Arkansas,US,0,0,0,2020-03-28
Ohio,US,6,0,0,2020-03-28
Washington,US,0,0,0,2020-03-28
Louisiana,US,8,0,0,2020-03-28
Texas,US,2,0,0,2020-03-28
Kansas,US,0,0,0,2020-03-28
Missouri,US,1,0,0,2020-03-28
Ohio,US,2,0,0,2020-03-28
Georgia,US,0,0,0,2020-03-28
New Jersey,US,17,0,0,2020-03-28
Oklahoma,US,0,0,0,2020-03-28
Mississippi,US,9,0,0,2020-03-28
Missouri,US,0,0,0,2020-03-28
Iowa,US,0,0,0,2020-03-28
Ohio,US,1,0,0,2020-03-28
Virginia,US,0,0,0,2020-03-28
South Dakota,US,1,0,0,2020-03-28
Texas,US,1,0,0,2020-03-28
Alabama,US,6,0,0,2020-03-28
North Carolina,US,0,0,0,2020-03-28
Louisiana,US,12,0,0,2020-03-28
Colorado,US,1,0,0,2020-03-28
Georgia,US,0,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
Florida,US,7,0,0,2020-03-28
Georgia,US,1,1,0,2020-03-28
Oregon,US,0,0,0,2020-03-28
Alabama,US,10,0,0,2020-03-28
Georgia,US,2,0,0,2020-03-28
Kentucky,US,0,0,0,2020-03-28
Maryland,US,141,1,0,2020-03-28
Maryland,US,112,0,0,2020-03-28
South Carolina,US,0,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
Georgia,US,0,0,0,2020-03-28
Nebraska,US,0,0,0,2020-03-28
Idaho,US,3,0,0,2020-03-28
Michigan,US,0,0,0,2020-03-28
Kansas,US,0,0,0,2020-03-28
Alabama,US,0,0,0,2020-03-28
West Virginia,US,0,0,0,2020-03-28
North Dakota,US,2,0,0,2020-03-28
Massachusetts,US,133,2,0,2020-03-28
South Carolina,US,0,0,0,2020-03-28
Kentucky,US,0,0,0,2020-03-28
Wisconsin,US,0,0,0,2020-03-28
Georgia,US,7,1,0,2020-03-28
Michigan,US,1,0,0,2020-03-28
Missouri,US,1,0,0,2020-03-28
Indiana,US,7,0,0,2020-03-28
Kansas,US,0,0,0,2020-03-28
Missouri,US,0,0,0,2020-03-28
Georgia,US,116,1,0,2020-03-28
Texas,US,4,0,0,2020-03-28
Missouri,US,1,0,0,2020-03-28
Kentucky,US,0,0,0,2020-03-28
Virginia,US,0,0,0,2020-03-28
Arkansas,US,1,0,0,2020-03-28
Florida,US,5,0,0,2020-03-28
Michigan,US,4,0,0,2020-03-28
Wisconsin,US,2,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
South Dakota,US,16,0,0,2020-03-28
Idaho,US,0,0,0,2020-03-28
North Carolina,US,3,0,0,2020-03-28
South Carolina,US,39,0,0,2020-03-28
Louisiana,US,4,0,0,2020-03-28
Oklahoma,US,0,0,0,2020-03-28
Pennsylvania,US,22,0,0,2020-03-28
Utah,US,0,0,0,2020-03-28
Montana,US,0,0,0,2020-03-28
Minnesota,US,0,0,0,2020-03-28
Oklahoma,US,0,0,0,2020-03-28
Pennsylvania,US,0,0,0,2020-03-28
Tennessee,US,1,0,0,2020-03-28
Virginia,US,3,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
New Hampshire,US,9,0,0,2020-03-28
Kentucky,US,0,0,0,2020-03-28
Texas,US,28,1,0,2020-03-28
Ohio,US,8,0,0,2020-03-28
Minnesota,US,2,0,0,2020-03-28
Georgia,US,2,0,0,2020-03-28
Idaho,US,0,0,0,2020-03-28
South Dakota,US,0,0,0,2020-03-28
Vermont,US,15,0,0,2020-03-28
North Dakota,US,0,0,0,2020-03-28
Colorado,US,0,0,0,2020-03-28
Arkansas,US,28,0,0,2020-03-28
Indiana,US,0,0,0,2020-03-28
Iowa,US,4,0,0,2020-03-28
Minnesota,US,1,0,0,2020-03-28
Mississippi,US,2,0,0,2020-03-28
Missouri,US,1,0,0,2020-03-28
Oregon,US,8,0,0,2020-03-28
Tennessee,US,3,0,0,2020-03-28
Washington,US,42,5,0,2020-03-28
Michigan,US,0,0,0,2020-03-28
New Jersey,US,1838,13,0,2020-03-28
South Carolina,US,13,0,0,2020-03-28
West Virginia,US,9,0,0,2020-03-28
Pennsylvania,US,65,0,0,2020-03-28
Massachusetts,US,119,2,0,2020-03-28
New Mexico,US,93,0,0,2020-03-28
Georgia,US,0,0,0,2020-03-28
Michigan,US,22,0,0,2020-03-28
North Carolina,US,3,0,0,2020-03-28
Alaska,US,0,0,0,2020-03-28
Texas,US,125,5,0,2020-03-28
Alabama,US,0,0,0,2020-03-28
Georgia,US,11,0,0,2020-03-28
Louisiana,US,3,1,0,2020-03-28
Montana,US,0,0,0,2020-03-28
Wyoming,US,0,0,0,2020-03-28
Minnesota,US,1,0,0,2020-03-28
North Dakota,US,0,0,0,2020-03-28
Idaho,US,1,0,0,2020-03-28
Iowa,US,6,0,0,2020-03-28
Indiana,US,0,0,0,2020-03-28
North Carolina,US,0,0,0,2020-03-28
Idaho,US,99,2,0,2020-03-28
Montana,US,0,0,0,2020-03-28
Nebraska,US,0,0,0,2020-03-28
Oklahoma,US,0,0,0,2020-03-28
Pennsylvania,US,2,0,0,2020-03-28
Texas,US,1,0,0,2020-03-28
Virginia,US,0,0,0,2020-03-28
Georgia,US,0,0,0,2020-03-28
Tennessee,US,2,0,0,2020-03-28
Alabama,US,5,0,0,2020-03-28
Tennessee,US,9,0,0,2020-03-28
Minnesota,US,7,0,0,2020-03-28
Idaho,US,0,0,0,2020-03-28
Mississippi,US,11,0,0,2020-03-28
Missouri,US,1,0,0,2020-03-28
South Dakota,US,1,0,0,2020-03-28
Illinois,US,0,0,0,2020-03-28
Idaho,US,0,0,0,2020-03-28
Idaho,US,1,0,0,2020-03-28
Arkansas,US,1,0,0,2020-03-28
Illinois,US,0,0,0,2020-03-28
Indiana,US,8,0,0,2020-03-28
Iowa,US,1,0,0,2020-03-28
Kentucky,US,5,0,0,2020-03-28
Missouri,US,49,1,0,2020-03-28
Nebraska,US,0,0,0,2020-03-28
West Virginia,US,0,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
Louisiana,US,45,0,0,2020-03-28
Virginia,US,1,0,0,2020-03-28
North Dakota,US,0,0,0,2020-03-28
Colorado,US,76,1,0,2020-03-28
Idaho,US,0,0,0,2020-03-28
Kansas,US,3,0,0,2020-03-28
Kentucky,US,2,1,0,2020-03-28
Texas,US,3,0,0,2020-03-28
North Dakota,US,0,0,0,2020-03-28
Nebraska,US,0,0,0,2020-03-28
Utah,US,4,0,0,2020-03-28
Kentucky,US,0,0,0,2020-03-28
Nebraska,US,0,0,0,2020-03-28
Kentucky,US,0,0,0,2020-03-28
Kentucky,US,0,0,0,2020-03-28
Florida,US,1,0,0,2020-03-28
Pennsylvania,US,3,0,0,2020-03-28
Arkansas,US,4,0,0,2020-03-28
Tennessee,US,5,0,0,2020-03-28
Michigan,US,0,0,0,2020-03-28
Georgia,US,0,0,0,2020-03-28
West Virginia,US,0,0,0,2020-03-28
Texas,US,61,0,0,2020-03-28
Texas,US,40,1,0,2020-03-28
Kentucky,US,2,0,0,2020-03-28
Kentucky,US,0,0,0,2020-03-28
Iowa,US,0,0,0,2020-03-28
Florida,US,26,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
Massachusetts,US,179,1,0,2020-03-28
Rhode Island,US,6,0,0,2020-03-28
Virginia,US,1,0,0,2020-03-28
Alaska,US,0,0,0,2020-03-28
Montana,US,2,0,0,2020-03-28
New York,US,0,0,0,2020-03-28
West Virginia,US,0,0,0,2020-03-28
South Dakota,US,1,0,0,2020-03-28
Georgia,US,0,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
New York,US,23,3,0,2020-03-28
Colorado,US,13,0,0,2020-03-28
Florida,US,814,10,0,2020-03-28
Illinois,US,0,0,0,2020-03-28
Indiana,US,2,0,0,2020-03-28
Kansas,US,0,0,0,2020-03-28
Minnesota,US,0,0,0,2020-03-28
Nebraska,US,0,0,0,2020-03-28
Ohio,US,0,0,0,2020-03-28
South Dakota,US,2,0,0,2020-03-28
Texas,US,3,0,0,2020-03-28
Wisconsin,US,6,0,0,2020-03-28
South Dakota,US,0,0,0,2020-03-28
North Carolina,US,12,0,0,2020-03-28
Virginia,US,0,0,0,2020-03-28
Georgia,US,6,0,0,2020-03-28
Oklahoma,US,1,0,0,2020-03-28
Iowa,US,2,0,0,2020-03-28
Missouri,US,3,0,0,2020-03-28
Virginia,US,0,0,0,2020-03-28
Virginia,US,0,0,0,2020-03-28
Pennsylvania,US,152,0,0,2020-03-28
Iowa,US,0,0,0,2020-03-28
Virginia,US,0,0,0,2020-03-28
Nebraska,US,4,0,0,2020-03-28
South Dakota,US,0,0,0,2020-03-28
Wisconsin,US,0,0,0,2020-03-28
Kentucky,US,0,0,0,2020-03-28
Georgia,US,0,0,0,2020-03-28
Alabama,US,3,0,0,2020-03-28
North Carolina,US,17,0,0,2020-03-28
Illinois,US,1,0,0,2020-03-28
Georgia,US,3,0,0,2020-03-28
North Carolina,US,4,0,0,2020-03-28
North Dakota,US,0,0,0,2020-03-28
North Dakota,US,28,0,0,2020-03-28
Texas,US,1,0,0,2020-03-28
New Jersey,US,115,0,0,2020-03-28
Texas,US,1,0,0,2020-03-28
Wisconsin,US,0,0,0,2020-03-28
Nebraska,US,0,0,0,2020-03-28
Alabama,US,1,0,0,2020-03-28
Iowa,US,1,0,0,2020-03-28
Kansas,US,3,0,0,2020-03-28
Kentucky,US,0,0,0,2020-03-28
Missouri,US,0,0,0,2020-03-28
Nebraska,US,0,0,0,2020-03-28
Ohio,US,25,0,0,2020-03-28
Pennsylvania,US,41,2,0,2020-03-28
California,US,5,0,0,2020-03-28
Idaho,US,0,0,0,2020-03-28
South Dakota,US,0,0,0,2020-03-28
Georgia,US,5,0,0,2020-03-28
North Carolina,US,31,2,0,2020-03-28
West Virginia,US,0,0,0,2020-03-28
Utah,US,5,0,0,2020-03-28
Louisiana,US,189,2,0,2020-03-28
Oklahoma,US,1,0,0,2020-03-28
California,US,3,0,0,2020-03-28
Louisiana,US,28,1,0,2020-03-28
Kentucky,US,0,0,0,2020-03-28
Louisiana,US,0,0,0,2020-03-28
Missouri,US,0,0,0,2020-03-28
North Carolina,US,3,0,0,2020-03-28
Texas,US,1,0,0,2020-03-28
Vermont,US,2,0,0,2020-03-28
Alabama,US,3,0,0,2020-03-28
Arkansas,US,0,0,0,2020-03-28
Florida,US,0,0,0,2020-03-28
Georgia,US,2,0,0,2020-03-28
Illinois,US,0,0,0,2020-03-28
Iowa,US,0,0,0,2020-03-28
Michigan,US,11,0,0,2020-03-28
Mississippi,US,3,0,0,2020-03-28
South Carolina,US,1,0,0,2020-03-28
Texas,US,3,0,0,2020-03-28
West Virginia,US,0,0,0,2020-03-28
Texas,US,0,0,0,2020-03-28
Missouri,US,6,0,0,2020-03-28
Kentucky,US,1,0,0,2020-03-28
